battery_id,cycle,voltage,temperature,capacity,soh,rul,health_label,degradation_pct,voltage_drop,soh_lag_1,soh_lag_3,temp_capacity,health_encoded
B0005,1,3.53278,32.5369,1.86198,1.0,167,Healthy,0.0,0.0,1.0,1.0,60.583057062,2
B0005,2,3.54297,32.6436,1.85186,0.994568,166,Healthy,0.54,0.010190000000000143,1.0,0.994568,60.451377096,2
B0005,3,3.55306,32.5225,1.84081,0.988631,165,Healthy,1.14,0.010089999999999932,0.994568,0.988631,59.867743225000005,2
B0005,4,3.54585,32.4921,1.85006,0.993599,164,Healthy,0.64,-0.007209999999999717,0.988631,1.0,60.112334526000005,2
B0005,5,3.54446,32.3686,1.84943,0.993263,163,Healthy,0.67,-0.0013900000000002244,0.993599,0.994568,59.863459897999995,2
B0005,6,3.55552,32.2512,1.84114,0.988808,162,Healthy,1.12,0.01106000000000007,0.993263,0.988631,59.378974367999994,2
B0005,7,3.55039,32.3662,1.84062,0.988531,161,Healthy,1.15,-0.005129999999999857,0.988808,0.993599,59.573875044,2
B0005,8,3.55744,32.3675,1.83116,0.983452,160,Healthy,1.65,0.007050000000000001,0.988531,0.993263,59.2700713,2
B0005,9,3.5535,32.3396,1.83955,0.987953,159,Healthy,1.2,-0.003940000000000055,0.983452,0.988808,59.49031117999999,2
B0005,10,3.55789,32.1912,1.83002,0.982837,158,Healthy,1.72,0.004389999999999894,0.987953,0.988531,58.910539824000004,2
B0005,11,3.55635,32.0681,1.83,0.982827,157,Healthy,1.72,-0.0015399999999998748,0.982837,0.983452,58.684623,2
B0005,12,3.56047,32.3477,1.82899,0.982285,156,Healthy,1.77,0.0041199999999999015,0.982827,0.987953,59.163619823000005,2
B0005,13,3.56036,32.2836,1.8191,0.976971,155,Healthy,2.3,-0.00010999999999983245,0.982285,0.982837,58.727096759999995,2
B0005,14,3.56643,32.0159,1.81881,0.976814,154,Healthy,2.32,0.006069999999999798,0.976971,0.982827,58.230839079000006,2
B0005,15,3.56563,32.0,1.8173,0.976005,153,Healthy,2.4,-0.0007999999999999119,0.976814,0.982285,58.1536,2
B0005,16,3.55999,31.9346,1.7969,0.965047,152,Healthy,3.5,-0.005640000000000089,0.976005,0.976971,57.38328274,2
B0005,17,3.55861,31.9581,1.81733,0.976024,151,Healthy,2.4,-0.0013800000000001589,0.965047,0.976814,58.078413873,2
B0005,18,3.55912,31.965,1.80842,0.971235,150,Healthy,2.88,0.0005100000000002325,0.976024,0.976005,57.8061453,2
B0005,19,3.56428,31.875,1.80814,0.971085,149,Healthy,2.89,0.005160000000000053,0.971235,0.965047,57.634462500000005,2
B0005,20,3.56324,32.2468,1.85238,0.994844,148,Healthy,0.52,-0.001040000000000152,0.971085,0.976024,59.733327384,2
B0005,21,3.5598,32.6225,1.86215,1.00009,147,Healthy,-0.01,-0.0034399999999998876,0.994844,0.971235,60.747988375000006,2
B0005,22,3.56149,32.2641,1.84155,0.989028,146,Healthy,1.1,0.0016899999999999693,1.00009,0.971085,59.415953355,2
B0005,23,3.56403,31.9485,1.84052,0.988474,145,Healthy,1.15,0.0025399999999997647,0.989028,0.994844,58.80185322,2
B0005,24,3.55969,31.8554,1.81997,0.977442,144,Healthy,2.26,-0.0043400000000000105,0.988474,1.00009,57.975872338,2
B0005,25,3.5576,31.7919,1.84033,0.988376,143,Healthy,1.16,-0.0020899999999999253,0.977442,0.989028,58.507587326999996,2
B0005,26,3.56591,31.6536,1.82873,0.982142,142,Healthy,1.79,0.008310000000000262,0.988376,0.988474,57.885887928,2
B0005,27,3.56284,31.561,1.82012,0.977523,141,Healthy,2.25,-0.003070000000000128,0.982142,0.977442,57.444807319999995,2
B0005,28,3.55683,31.5656,1.81933,0.977096,140,Healthy,2.29,-0.006009999999999849,0.977523,0.988376,57.428243048,2
B0005,29,3.56829,31.5058,1.80812,0.971074,139,Healthy,2.89,0.011460000000000026,0.977096,0.982142,56.966267096,2
B0005,30,3.56695,31.5007,1.80939,0.971758,138,Healthy,2.82,-0.001340000000000341,0.971074,0.977523,56.997051573,2
B0005,31,3.55558,31.9375,1.85997,0.998924,137,Healthy,0.11,-0.01136999999999988,0.971758,0.977096,59.402791875,2
B0005,32,3.56625,32.019,1.83361,0.984764,136,Healthy,1.52,0.01067000000000018,0.998924,0.971074,58.71035859,2
B0005,33,3.56515,31.803,1.82283,0.978974,135,Healthy,2.1,-0.001100000000000101,0.984764,0.971758,57.97146249,2
B0005,34,3.56466,31.3901,1.81217,0.973253,134,Healthy,2.67,-0.0004900000000001015,0.978974,0.998924,56.884197517000004,2
B0005,35,3.56383,31.3226,1.80753,0.970757,133,Healthy,2.92,-0.0008300000000001084,0.973253,0.984764,56.616539178000004,2
B0005,36,3.55794,31.9243,1.80752,0.970754,132,Healthy,2.92,-0.005889999999999951,0.970757,0.978974,57.703810736,2
B0005,37,3.56066,31.6118,1.78569,0.959028,131,Healthy,4.1,0.0027200000000000557,0.970754,0.973253,56.448875142,2
B0005,38,3.55862,31.447,1.79106,0.961914,130,Healthy,3.81,-0.0020400000000000418,0.959028,0.970757,56.32346382,2
B0005,39,3.5581,31.276,1.78119,0.956614,129,Healthy,4.34,-0.0005199999999998539,0.961914,0.970754,55.70849844,2
B0005,40,3.55513,31.5256,1.77597,0.953807,128,Healthy,4.62,-0.002969999999999917,0.956614,0.959028,55.988519832,2
B0005,41,3.56241,32.0114,1.77078,0.951024,127,Healthy,4.9,0.007279999999999731,0.953807,0.961914,56.685146892000006,2
B0005,42,3.55576,32.2541,1.75956,0.944994,126,Healthy,5.5,-0.006650000000000045,0.951024,0.956614,56.753024196000005,2
B0005,43,3.56081,31.8068,1.77296,0.952192,125,Healthy,4.78,0.005050000000000221,0.944994,0.953807,56.392184128000004,2
B0005,44,3.5571,31.692,1.76561,0.948244,124,Healthy,5.18,-0.00370999999999988,0.952192,0.951024,55.955712119999994,2
B0005,45,3.54917,31.4421,1.75986,0.945156,123,Healthy,5.48,-0.007929999999999993,0.948244,0.944994,55.333694105999996,2
B0005,46,3.55265,31.2994,1.74478,0.937056,122,Healthy,6.29,0.0034799999999997056,0.945156,0.952192,54.610567132,2
B0005,47,3.55191,31.3054,1.739,0.933952,121,Healthy,6.6,-0.0007399999999999629,0.937056,0.948244,54.4400906,2
B0005,48,3.56486,34.2426,1.79653,0.964851,120,Healthy,3.51,0.012950000000000017,0.933952,0.945156,61.517858178000004,2
B0005,49,3.56294,33.4245,1.78608,0.959238,119,Healthy,4.08,-0.0019199999999996997,0.964851,0.937056,59.69883096,2
B0005,50,3.55898,32.6529,1.77028,0.950753,118,Healthy,4.92,-0.003960000000000186,0.959238,0.933952,57.80477581200001,2
B0005,51,3.55845,32.2014,1.75996,0.945211,117,Healthy,5.48,-0.0005299999999999194,0.950753,0.964851,56.673175944,2
B0005,52,3.55263,31.9722,1.74408,0.936682,116,Healthy,6.33,-0.005819999999999936,0.945211,0.959238,55.762074576,2
B0005,53,3.54886,32.0679,1.74463,0.936975,115,Healthy,6.3,-0.003770000000000273,0.936682,0.950753,55.946620377,2
B0005,54,3.54967,32.4119,1.74459,0.936955,114,Healthy,6.3,0.0008099999999999774,0.936975,0.945211,56.545476621000006,2
B0005,55,3.55041,32.0752,1.73454,0.93156,113,Healthy,6.84,0.0007399999999999629,0.936955,0.936682,55.635717408000005,2
B0005,56,3.54948,31.99,1.7187,0.923052,112,Healthy,7.69,-0.0009299999999998754,0.93156,0.936975,54.981213,2
B0005,57,3.55063,31.8504,1.71344,0.920228,111,Healthy,7.98,0.0011499999999999844,0.923052,0.936955,54.573749376,2
B0005,58,3.54429,32.1735,1.70898,0.91783,110,Healthy,8.22,-0.00633999999999979,0.920228,0.93156,54.98386803,2
B0005,59,3.54391,32.5485,1.69759,0.911713,109,Healthy,8.83,-0.000380000000000269,0.91783,0.923052,55.25400811499999,2
B0005,60,3.53995,32.3664,1.69184,0.908627,108,Healthy,9.14,-0.0039599999999997415,0.911713,0.920228,54.758770176,2
B0005,61,3.54404,32.2214,1.6878,0.906456,107,Healthy,9.35,0.004089999999999705,0.908627,0.91783,54.38327892,2
B0005,62,3.54164,32.0943,1.67746,0.900902,106,Healthy,9.91,-0.0023999999999997357,0.906456,0.911713,53.836904477999994,2
B0005,63,3.5389,32.2892,1.67187,0.897899,105,Warning,10.21,-0.0027400000000001867,0.900902,0.908627,53.983344804,1
B0005,64,3.54222,32.1762,1.67195,0.897946,104,Warning,10.21,0.0033199999999999896,0.897899,0.906456,53.796997590000004,1
B0005,65,3.53925,32.5368,1.66718,0.895382,103,Warning,10.46,-0.002969999999999917,0.897946,0.900902,54.244702224,1
B0005,66,3.53525,32.415,1.65683,0.889822,102,Warning,11.02,-0.0040000000000000036,0.895382,0.897899,53.70614445,1
B0005,67,3.53799,32.2579,1.64563,0.883807,101,Warning,11.62,0.0027400000000001867,0.889822,0.897946,53.084567977,1
B0005,68,3.53071,32.3445,1.64608,0.884049,100,Warning,11.6,-0.007280000000000175,0.883807,0.895382,53.241634559999994,1
B0005,69,3.52894,32.4228,1.63,0.875414,99,Warning,12.46,-0.0017700000000000493,0.884049,0.889822,52.849164,1
B0005,70,3.53237,32.4085,1.63071,0.875795,98,Warning,12.42,0.003429999999999822,0.875414,0.883807,52.848865034999996,1
B0005,71,3.52996,32.3843,1.62505,0.872756,97,Warning,12.72,-0.002409999999999801,0.875795,0.884049,52.626106715000006,1
B0005,72,3.52899,32.4163,1.61429,0.866977,96,Warning,13.3,-0.0009700000000001374,0.872756,0.875414,52.329308927,1
B0005,73,3.52799,32.3786,1.60949,0.864399,95,Warning,13.56,-0.0009999999999998899,0.866977,0.875795,52.113032914,1
B0005,74,3.52412,32.4217,1.60977,0.864552,94,Warning,13.54,-0.00387000000000004,0.864399,0.872756,52.191480009,1
B0005,75,3.52567,32.3645,1.59336,0.855738,93,Warning,14.43,0.0015499999999999403,0.864552,0.866977,51.568299720000006,1
B0005,76,3.52372,32.3431,1.58876,0.853267,92,Warning,14.67,-0.0019499999999998963,0.855738,0.864399,51.385423556,1
B0005,77,3.51992,32.2233,1.58788,0.852792,91,Warning,14.72,-0.0038000000000000256,0.853267,0.864552,51.166733604,1
B0005,78,3.5274,32.7488,1.59844,0.858466,90,Warning,14.15,0.007480000000000153,0.852792,0.855738,52.346991872000004,1
B0005,79,3.51668,32.3,1.57206,0.844296,89,Warning,15.57,-0.010720000000000063,0.858466,0.853267,50.77753799999999,1
B0005,80,3.51546,31.9894,1.56787,0.842047,88,Warning,15.8,-0.0012199999999999989,0.844296,0.852792,50.155220578000005,1
B0005,81,3.51587,32.1026,1.56803,0.842132,87,Warning,15.79,0.00041000000000002146,0.842047,0.858466,50.337839878000004,1
B0005,82,3.51525,32.6094,1.56251,0.839167,86,Warning,16.08,-0.0006200000000000649,0.842132,0.844296,50.952513594,1
B0005,83,3.51297,32.8749,1.55204,0.833545,85,Warning,16.65,-0.0022799999999998377,0.839167,0.842047,51.023159795999995,1
B0005,84,3.51355,32.7223,1.55187,0.833454,84,Warning,16.65,0.0005799999999998029,0.833545,0.842132,50.780755701,1
B0005,85,3.51418,32.4186,1.54643,0.830533,83,Warning,16.95,0.0006300000000001305,0.833454,0.839167,50.133095598,1
B0005,86,3.51092,32.2673,1.53089,0.822187,82,Warning,17.78,-0.0032600000000000406,0.830533,0.833545,49.397686897,1
B0005,87,3.51049,32.5498,1.53154,0.822536,81,Warning,17.75,-0.0004300000000001525,0.822187,0.833454,49.851320691999994,1
B0005,88,3.51396,32.8677,1.52567,0.819384,80,Warning,18.06,0.003470000000000084,0.822536,0.830533,50.145263859,1
B0005,89,3.51167,32.9536,1.52576,0.819431,79,Warning,18.06,-0.0022899999999999032,0.819384,0.822187,50.279284736,1
B0005,90,3.52436,32.7441,1.60883,0.864044,78,Warning,13.6,0.01269000000000009,0.819431,0.822536,52.679690403,1
B0005,91,3.51846,33.2445,1.56685,0.8415,77,Warning,15.85,-0.005900000000000016,0.864044,0.819384,52.089144825000005,1
B0005,92,3.51597,33.2625,1.55109,0.833034,76,Warning,16.7,-0.0024900000000003253,0.8415,0.819431,51.593131125000006,1
B0005,93,3.5185,33.0364,1.53541,0.824611,75,Warning,17.54,0.0025300000000001432,0.833034,0.864044,50.724418924,1
B0005,94,3.51123,32.8716,1.53521,0.824507,74,Warning,17.55,-0.00727000000000011,0.824611,0.8415,50.464809036,1
B0005,95,3.50931,32.8926,1.51999,0.81633,73,Warning,18.37,-0.0019199999999996997,0.824507,0.833034,49.996423074,1
B0005,96,3.5116,32.8004,1.51495,0.813627,72,Warning,18.64,0.0022899999999999032,0.81633,0.824611,49.69096598000001,1
B0005,97,3.50701,32.9496,1.50959,0.810748,71,Warning,18.93,-0.004589999999999872,0.813627,0.824507,49.74038666399999,1
B0005,98,3.50459,32.9603,1.50986,0.81089,70,Warning,18.91,-0.002420000000000311,0.810748,0.81633,49.76543855799999,1
B0005,99,3.50718,32.9761,1.49915,0.805137,69,Warning,19.49,0.0025900000000000922,0.81089,0.813627,49.436120315000004,1
B0005,100,3.50628,33.0767,1.48892,0.799646,68,Critical,20.04,-0.0009000000000001229,0.805137,0.810748,49.248560164000004,0
B0005,101,3.5049,32.9697,1.48343,0.796699,67,Critical,20.33,-0.0013799999999997148,0.799646,0.81089,48.908242071000004,0
B0005,102,3.506,32.9646,1.47823,0.793903,66,Critical,20.61,0.0010999999999996568,0.796699,0.805137,48.729260657999994,0
B0005,103,3.49777,33.1118,1.49419,0.802477,65,Warning,19.75,-0.008229999999999738,0.793903,0.799646,49.475320442,1
B0005,104,3.50897,33.6855,1.49913,0.805126,64,Warning,19.49,0.011200000000000099,0.802477,0.796699,50.498943615,1
B0005,105,3.50161,33.5761,1.48912,0.799754,63,Critical,20.02,-0.007360000000000255,0.805126,0.793903,49.99884203199999,0
B0005,106,3.50468,33.4326,1.47275,0.79096,62,Critical,20.9,0.003070000000000128,0.799754,0.802477,49.23786165,0
B0005,107,3.49822,33.1827,1.45695,0.782473,61,Critical,21.75,-0.006460000000000132,0.79096,0.805126,48.345534765,0
B0005,108,3.49857,33.2699,1.4572,0.782611,60,Critical,21.74,0.0003500000000000725,0.782473,0.799754,48.48089828,0
B0005,109,3.49439,33.5481,1.46333,0.7859,59,Critical,21.41,-0.0041799999999998505,0.782611,0.79096,49.091941172999995,0
B0005,110,3.49888,33.6955,1.45209,0.779867,58,Critical,22.01,0.004490000000000105,0.7859,0.782473,48.92889859500001,0
B0005,111,3.5001,33.3659,1.44168,0.774273,57,Critical,22.57,0.0012199999999999989,0.779867,0.782611,48.10295071200001,0
B0005,112,3.49466,33.3511,1.4365,0.771492,56,Critical,22.85,-0.005440000000000111,0.774273,0.7859,47.90885515000001,0
B0005,113,3.49352,33.5765,1.43644,0.771461,55,Critical,22.85,-0.0011399999999999189,0.771492,0.779867,48.23062766,0
B0005,114,3.49585,33.8019,1.43108,0.768581,54,Critical,23.14,0.002329999999999721,0.771461,0.774273,48.373223052,0
B0005,115,3.49678,33.6539,1.42595,0.765828,53,Critical,23.42,0.0009300000000003195,0.768581,0.771492,47.988778705,0
B0005,116,3.49316,33.468,1.42045,0.762875,52,Critical,23.71,-0.0036200000000001786,0.765828,0.771461,47.539620600000006,0
B0005,117,3.4908,33.3207,1.41548,0.760203,51,Critical,23.98,-0.0023599999999999177,0.762875,0.768581,47.164784436000005,0
B0005,118,3.48553,33.672,1.41564,0.76029,50,Critical,23.97,-0.00527000000000033,0.760203,0.765828,47.667430079999995,0
B0005,119,3.49207,33.956,1.41069,0.75763,49,Critical,24.24,0.006540000000000212,0.76029,0.762875,47.901389640000005,0
B0005,120,3.49224,33.766,1.43648,0.771481,48,Critical,22.85,0.00016999999999978144,0.75763,0.760203,48.50418368,0
B0005,121,3.49639,34.0154,1.4413,0.774072,47,Critical,22.59,0.004150000000000098,0.771481,0.76029,49.02639602,0
B0005,122,3.49516,33.6266,1.42041,0.762851,46,Critical,23.71,-0.0012300000000000644,0.774072,0.75763,47.763558906,0
B0005,123,3.49117,33.2981,1.41527,0.760089,45,Critical,23.99,-0.003989999999999938,0.762851,0.771481,47.125801986999996,0
B0005,124,3.48716,33.3118,1.40948,0.756981,44,Critical,24.3,-0.004010000000000069,0.760089,0.774072,46.952315864,0
B0005,125,3.48982,33.1898,1.39975,0.751757,43,Critical,24.82,0.0026600000000001067,0.756981,0.762851,46.45742255,0
B0005,126,3.48195,33.323,1.38865,0.745796,42,Critical,25.42,-0.007870000000000044,0.751757,0.760089,46.27398395,0
B0005,127,3.48473,33.2577,1.38924,0.746112,41,Critical,25.39,0.0027800000000000047,0.745796,0.756981,46.202927148,0
B0005,128,3.48524,33.0597,1.38349,0.74302,40,Critical,25.7,0.0005100000000002325,0.746112,0.751757,45.737764353,0
B0005,129,3.48223,33.0782,1.37264,0.737198,39,Critical,26.28,-0.003010000000000179,0.74302,0.745796,45.40446044800001,0
B0005,130,3.48231,33.0815,1.37357,0.737692,38,Critical,26.23,8.000000000008001e-05,0.737198,0.746112,45.439755954999995,0
B0005,131,3.4782,33.2104,1.37356,0.73769,37,Critical,26.23,-0.004109999999999836,0.737692,0.74302,45.616477024,0
B0005,132,3.47851,33.0631,1.37304,0.737408,36,Critical,26.26,0.00030999999999981043,0.73769,0.737198,45.396958824,0
B0005,133,3.48197,33.5842,1.37843,0.740306,35,Critical,25.97,0.0034600000000000186,0.737408,0.737692,46.29346880600001,0
B0005,134,3.49115,33.6903,1.38913,0.746051,34,Critical,25.39,0.009180000000000188,0.740306,0.73769,46.800206439,0
B0005,135,3.48171,33.6416,1.36721,0.734277,33,Critical,26.57,-0.009440000000000115,0.746051,0.737408,45.995131936,0
B0005,136,3.47971,33.4672,1.37304,0.737409,32,Critical,26.26,-0.002000000000000224,0.734277,0.740306,45.951804288,0
B0005,137,3.48182,33.0722,1.35739,0.729007,31,Critical,27.1,0.0021100000000000563,0.737409,0.746051,44.89187355800001,0
B0005,138,3.47993,33.6102,1.36294,0.731986,30,Critical,26.8,-0.0018899999999999473,0.729007,0.734277,45.808685988,0
B0005,139,3.47563,33.7946,1.35776,0.729203,29,Critical,27.08,-0.0042999999999997485,0.731986,0.737409,45.884956096,0
B0005,140,3.47949,33.3963,1.35236,0.726303,28,Critical,27.37,0.0038599999999999746,0.729203,0.729007,45.163820267999995,0
B0005,141,3.47267,33.1711,1.34726,0.723565,27,Critical,27.64,-0.00682000000000027,0.726303,0.731986,44.690096186,0
B0005,142,3.47212,33.1912,1.34207,0.720776,26,Critical,27.92,-0.0005500000000000504,0.723565,0.729203,44.54491378400001,0
B0005,143,3.47379,33.4495,1.34194,0.720705,25,Critical,27.93,0.0016700000000002824,0.720776,0.726303,44.88722203,0
B0005,144,3.47522,33.4512,1.33706,0.718086,24,Critical,28.19,0.0014300000000000423,0.720705,0.723565,44.726261472,0
B0005,145,3.47013,33.1936,1.33692,0.718012,23,Critical,28.2,-0.005090000000000039,0.718086,0.720776,44.37718771200001,0
B0005,146,3.46874,33.0236,1.33148,0.715092,22,Critical,28.49,-0.0013900000000002244,0.718012,0.720705,43.970262928000004,0
