battery_id,cycle,voltage,temperature,capacity,soh,rul,health_label,degradation_pct
B0005,1,3.53278,32.5369,1.86198,1,167,Healthy,0
B0005,2,3.54297,32.6436,1.85186,0.994568,166,Healthy,0.54
B0005,3,3.55306,32.5225,1.84081,0.988631,165,Healthy,1.14
B0005,4,3.54585,32.4921,1.85006,0.993599,164,Healthy,0.64
B0005,5,3.54446,32.3686,1.84943,0.993263,163,Healthy,0.67
B0005,6,3.55552,32.2512,1.84114,0.988808,162,Healthy,1.12
B0005,7,3.55039,32.3662,1.84062,0.988531,161,Healthy,1.15
B0005,8,3.55744,32.3675,1.83116,0.983452,160,Healthy,1.65
B0005,9,3.5535,32.3396,1.83955,0.987953,159,Healthy,1.2
B0005,10,3.55789,32.1912,1.83002,0.982837,158,Healthy,1.72
B0005,11,3.55635,32.0681,1.83,0.982827,157,Healthy,1.72
B0005,12,3.56047,32.3477,1.82899,0.982285,156,Healthy,1.77
B0005,13,3.56036,32.2836,1.8191,0.976971,155,Healthy,2.3
B0005,14,3.56643,32.0159,1.81881,0.976814,154,Healthy,2.32
B0005,15,3.56563,32,1.8173,0.976005,153,Healthy,2.4
B0005,16,3.55999,31.9346,1.7969,0.965047,152,Healthy,3.5
B0005,17,3.55861,31.9581,1.81733,0.976024,151,Healthy,2.4
B0005,18,3.55912,31.965,1.80842,0.971235,150,Healthy,2.88
B0005,19,3.56428,31.875,1.80814,0.971085,149,Healthy,2.89
B0005,20,3.56324,32.2468,1.85238,0.994844,148,Healthy,0.52
B0005,21,3.5598,32.6225,1.86215,1.00009,147,Healthy,-0.01
B0005,22,3.56149,32.2641,1.84155,0.989028,146,Healthy,1.1
B0005,23,3.56403,31.9485,1.84052,0.988474,145,Healthy,1.15
B0005,24,3.55969,31.8554,1.81997,0.977442,144,Healthy,2.26
B0005,25,3.5576,31.7919,1.84033,0.988376,143,Healthy,1.16
B0005,26,3.56591,31.6536,1.82873,0.982142,142,Healthy,1.79
B0005,27,3.56284,31.561,1.82012,0.977523,141,Healthy,2.25
B0005,28,3.55683,31.5656,1.81933,0.977096,140,Healthy,2.29
B0005,29,3.56829,31.5058,1.80812,0.971074,139,Healthy,2.89
B0005,30,3.56695,31.5007,1.80939,0.971758,138,Healthy,2.82
B0005,31,3.55558,31.9375,1.85997,0.998924,137,Healthy,0.11
B0005,32,3.56625,32.019,1.83361,0.984764,136,Healthy,1.52
B0005,33,3.56515,31.803,1.82283,0.978974,135,Healthy,2.1
B0005,34,3.56466,31.3901,1.81217,0.973253,134,Healthy,2.67
B0005,35,3.56383,31.3226,1.80753,0.970757,133,Healthy,2.92
B0005,36,3.55794,31.9243,1.80752,0.970754,132,Healthy,2.92
B0005,37,3.56066,31.6118,1.78569,0.959028,131,Healthy,4.1
B0005,38,3.55862,31.447,1.79106,0.961914,130,Healthy,3.81
B0005,39,3.5581,31.276,1.78119,0.956614,129,Healthy,4.34
B0005,40,3.55513,31.5256,1.77597,0.953807,128,Healthy,4.62
B0005,41,3.56241,32.0114,1.77078,0.951024,127,Healthy,4.9
B0005,42,3.55576,32.2541,1.75956,0.944994,126,Healthy,5.5
B0005,43,3.56081,31.8068,1.77296,0.952192,125,Healthy,4.78
B0005,44,3.5571,31.692,1.76561,0.948244,124,Healthy,5.18
B0005,45,3.54917,31.4421,1.75986,0.945156,123,Healthy,5.48
B0005,46,3.55265,31.2994,1.74478,0.937056,122,Healthy,6.29
B0005,47,3.55191,31.3054,1.739,0.933952,121,Healthy,6.6
B0005,48,3.56486,34.2426,1.79653,0.964851,120,Healthy,3.51
B0005,49,3.56294,33.4245,1.78608,0.959238,119,Healthy,4.08
B0005,50,3.55898,32.6529,1.77028,0.950753,118,Healthy,4.92
B0005,51,3.55845,32.2014,1.75996,0.945211,117,Healthy,5.48
B0005,52,3.55263,31.9722,1.74408,0.936682,116,Healthy,6.33
B0005,53,3.54886,32.0679,1.74463,0.936975,115,Healthy,6.3
B0005,54,3.54967,32.4119,1.74459,0.936955,114,Healthy,6.3
B0005,55,3.55041,32.0752,1.73454,0.93156,113,Healthy,6.84
B0005,56,3.54948,31.99,1.7187,0.923052,112,Healthy,7.69
B0005,57,3.55063,31.8504,1.71344,0.920228,111,Healthy,7.98
B0005,58,3.54429,32.1735,1.70898,0.91783,110,Healthy,8.22
B0005,59,3.54391,32.5485,1.69759,0.911713,109,Healthy,8.83
B0005,60,3.53995,32.3664,1.69184,0.908627,108,Healthy,9.14
B0005,61,3.54404,32.2214,1.6878,0.906456,107,Healthy,9.35
B0005,62,3.54164,32.0943,1.67746,0.900902,106,Healthy,9.91
B0005,63,3.5389,32.2892,1.67187,0.897899,105,Warning,10.21
B0005,64,3.54222,32.1762,1.67195,0.897946,104,Warning,10.21
B0005,65,3.53925,32.5368,1.66718,0.895382,103,Warning,10.46
B0005,66,3.53525,32.415,1.65683,0.889822,102,Warning,11.02
B0005,67,3.53799,32.2579,1.64563,0.883807,101,Warning,11.62
B0005,68,3.53071,32.3445,1.64608,0.884049,100,Warning,11.6
B0005,69,3.52894,32.4228,1.63,0.875414,99,Warning,12.46
B0005,70,3.53237,32.4085,1.63071,0.875795,98,Warning,12.42
B0005,71,3.52996,32.3843,1.62505,0.872756,97,Warning,12.72
B0005,72,3.52899,32.4163,1.61429,0.866977,96,Warning,13.3
B0005,73,3.52799,32.3786,1.60949,0.864399,95,Warning,13.56
B0005,74,3.52412,32.4217,1.60977,0.864552,94,Warning,13.54
B0005,75,3.52567,32.3645,1.59336,0.855738,93,Warning,14.43
B0005,76,3.52372,32.3431,1.58876,0.853267,92,Warning,14.67
B0005,77,3.51992,32.2233,1.58788,0.852792,91,Warning,14.72
B0005,78,3.5274,32.7488,1.59844,0.858466,90,Warning,14.15
B0005,79,3.51668,32.3,1.57206,0.844296,89,Warning,15.57
